ACL v0.4,UE 4.15 @ 0.01cm,UE 4.15 @ 0.1cm,UE 4.15 @ 1.0cm
0.000025,0.000025,0.017054,0.017054
0.000025,0.000025,0.017054,0.017054
0.000071,0.000068,0.011204,0.011204
0.000180,0.000184,0.017774,0.017774
0.000185,0.000323,0.019242,0.019242
0.009233,0.000090,0.018180,0.018180
0.010207,0.008364,0.020042,0.020042
0.010207,0.008364,0.020042,0.020042
0.008775,0.013255,0.017308,0.017308
0.009633,0.013197,0.015412,0.015412
0.009633,0.013197,0.015412,0.015412
0.008773,0.000183,0.020335,0.020335
0.008773,0.000183,0.020335,0.020335
0.009040,0.000307,0.015491,0.015491
0.009040,0.000399,0.019495,0.019495
0.009493,0.000399,0.019495,0.019495
0.009951,0.003655,0.023547,0.023547
0.009951,0.003655,0.023547,0.023547
0.009732,0.000724,0.021629,0.021629
0.009732,0.000724,0.021629,0.021629
0.008572,0.000558,0.017458,0.017458
0.008572,0.000558,0.017458,0.017458
0.009107,0.000759,0.019272,0.019272
0.009928,0.000759,0.019272,0.019272
0.009928,0.012355,0.023260,0.023260
0.009371,0.000200,0.019501,0.019501
0.008913,0.000151,0.015895,0.015895
0.009011,0.000152,0.026365,0.026365
0.009871,0.000174,0.027663,0.027663
0.009886,0.000174,0.027973,0.027973
0.010005,0.000393,0.028174,0.028174
0.010082,0.000668,0.028589,0.028589
0.010751,0.009648,0.029781,0.029781
0.008999,0.000186,0.025774,0.025774
0.010175,0.000242,0.028919,0.028919
0.007906,0.001032,0.020443,0.020443
0.008317,0.001032,0.020443,0.020443
0.008510,0.000145,0.020804,0.020804
0.008995,0.000162,0.021852,0.021852
0.009485,0.000167,0.022390,0.022390
0.009635,0.000223,0.022390,0.022390
0.009635,0.000281,0.024712,0.024712
0.009710,0.000288,0.027220,0.027220
0.009824,0.000303,0.027836,0.027836
0.009938,0.012198,0.028408,0.028408
0.009961,0.012577,0.029018,0.029018
0.009961,0.012577,0.030679,0.030679
0.009318,0.000154,0.020845,0.020845
0.009318,0.000160,0.020845,0.020845
0.009746,0.000451,0.023923,0.023923
0.009945,0.000451,0.028060,0.028060
0.010821,0.000572,0.029810,0.029810
0.011013,0.000981,0.032773,0.032773
0.009455,0.000255,0.018719,0.018719
0.009852,0.000269,0.021826,0.021826
0.009909,0.000857,0.024958,0.024958
0.009950,0.002743,0.027109,0.027109
0.009964,0.012191,0.029940,0.029940
0.008498,0.000163,0.015934,0.015934
0.009459,0.000171,0.017123,0.017123
0.009521,0.000264,0.017123,0.017123
0.009548,0.000264,0.021688,0.021688
0.009548,0.000602,0.026556,0.026556
0.009977,0.006914,0.026556,0.026556
0.009977,0.006914,0.030183,0.030183
0.009983,0.012257,0.032394,0.032394
0.009929,0.000204,0.021295,0.021295
0.010051,0.000259,0.021437,0.021437
0.010137,0.000319,0.021915,0.021915
0.011556,0.001134,0.026252,0.026252
0.009690,0.000155,0.021602,0.021602
0.009845,0.000169,0.022570,0.022570
0.009940,0.000175,0.025243,0.025243
0.010178,0.000205,0.026226,0.026226
0.010311,0.000215,0.026475,0.026475
0.010813,0.000242,0.027464,0.027464
0.010816,0.000306,0.028111,0.028111
0.010854,0.000307,0.030999,0.030999
0.012644,0.006548,0.046680,0.046680
0.009765,0.000153,0.016901,0.016901
0.009766,0.000153,0.021417,0.021417
0.009766,0.000172,0.023118,0.023118
0.009860,0.000199,0.023118,0.023118
0.009885,0.000206,0.023348,0.023348
0.009885,0.001149,0.025345,0.025345
0.009964,0.007430,0.027555,0.027555
0.010091,0.009265,0.027555,0.027555
0.010281,0.009283,0.027812,0.027812
0.012402,0.012842,0.028221,0.028221
0.012557,0.012842,0.035701,0.035701
0.008936,0.000157,0.016956,0.016956
0.009052,0.000198,0.016956,0.016956
0.009052,0.000198,0.019116,0.019116
0.009478,0.000227,0.019133,0.019133
0.009950,0.000346,0.019133,0.019133
0.009969,0.000346,0.020270,0.020270
0.009969,0.000483,0.020390,0.020390
0.010016,0.000939,0.020520,0.020520
0.010016,0.000939,0.022901,0.022901
0.010118,0.005864,0.024853,0.024853
0.010366,0.005864,0.024853,0.024853
0.010650,0.006283,0.029127,0.029127
0.010663,0.008991,0.030855,0.030855
0.010675,0.009562,0.033480,0.033480
0.010694,0.011468,0.034214,0.034214
0.010694,0.013846,0.034214,0.034214
0.012808,0.014071,0.061044,0.061044
0.009790,0.000152,0.018528,0.018528
0.009909,0.000152,0.018528,0.018528
0.009956,0.000232,0.019875,0.019875
0.009956,0.000450,0.023044,0.023044
0.010088,0.001357,0.023183,0.023183
0.010088,0.001357,0.024727,0.024727
0.010378,0.009581,0.027260,0.027260
0.010446,0.013519,0.027260,0.027260
0.010446,0.013519,0.034959,0.034959
0.012597,0.013819,0.038943,0.038943
0.012757,0.013878,0.038943,0.038943
0.009427,0.000131,0.021222,0.021222
0.009833,0.000254,0.022859,0.022859
0.009880,0.000349,0.024043,0.024043
0.010000,0.000773,0.024408,0.024408
0.010019,0.006534,0.026508,0.026508
0.010147,0.011153,0.028866,0.028866
0.010277,0.012899,0.035012,0.035012
0.009989,0.000175,0.021939,0.021939
0.010335,0.011962,0.026612,0.026612
0.009962,0.000350,0.022432,0.022432
0.009970,0.000971,0.026521,0.026521
0.012297,0.013680,0.043188,0.043188
0.009715,0.000197,0.017635,0.017635
0.009715,0.000279,0.018584,0.018584
0.009797,0.000292,0.018584,0.018584
0.009843,0.001185,0.020042,0.020042
0.009843,0.001185,0.020042,0.020042
0.009962,0.002676,0.021212,0.021212
0.009962,0.002676,0.021212,0.021212
0.010140,0.009682,0.022854,0.022854
0.010234,0.009682,0.035212,0.035212
0.011303,0.013538,0.047515,0.047515
0.009948,0.000243,0.031017,0.031017
0.010423,0.000371,0.033880,0.033880
0.011153,0.001047,0.035926,0.035926
0.011272,0.006788,0.036786,0.036786
0.009661,0.000221,0.017348,0.017348
0.009762,0.000267,0.018433,0.018433
0.009797,0.000271,0.019766,0.019766
0.009823,0.007671,0.021777,0.021777
0.009830,0.010801,0.021890,0.021890
0.009941,0.012881,0.027068,0.027068
0.010606,0.013729,0.027650,0.027650
0.013490,0.013981,0.028718,0.028718
0.009255,0.000305,0.016745,0.016745
0.009593,0.000430,0.016745,0.016745
0.009593,0.000430,0.017844,0.017844
0.009641,0.004021,0.018016,0.018016
0.009641,0.008431,0.018016,0.018016
0.009908,0.009504,0.018476,0.018476
0.009959,0.012306,0.018633,0.018633
0.009961,0.012848,0.022085,0.022085
0.009966,0.012848,0.025981,0.025981
0.010225,0.013172,0.026200,0.026200
0.010630,0.013909,0.028913,0.028913
0.012748,0.014257,0.030677,0.030677
0.009796,0.006636,0.025022,0.025022
0.009816,0.000164,0.027687,0.027687
0.009816,0.000322,0.038011,0.038011
0.009921,0.013015,0.038011,0.038011
0.033966,0.013015,0.041990,0.041990
0.009118,0.000546,0.021526,0.021526
0.010711,0.008867,0.024711,0.024711
0.009456,0.000315,0.018449,0.018449
0.009696,0.000315,0.018449,0.018449
0.009814,0.000421,0.020146,0.020146
0.009814,0.000421,0.020146,0.020146
0.009832,0.007981,0.020398,0.020398
0.009832,0.007981,0.020398,0.020398
0.009926,0.008017,0.020479,0.020479
0.009933,0.008017,0.020732,0.020732
0.009933,0.009777,0.021280,0.021280
0.009962,0.010779,0.021280,0.021280
0.009962,0.010883,0.021442,0.021442
0.009963,0.012735,0.021723,0.021723
0.009994,0.012886,0.021723,0.021723
0.009998,0.012953,0.022790,0.022790
0.010105,0.012953,0.022790,0.022790
0.010105,0.013145,0.025532,0.025532
0.010171,0.013385,0.025919,0.025919
0.010171,0.013385,0.026552,0.026552
0.010519,0.013423,0.027241,0.027241
0.010590,0.013754,0.078440,0.078440
0.009573,0.010101,0.020900,0.020900
0.009621,0.010101,0.021096,0.021096
0.009709,0.012097,0.021896,0.021896
0.009821,0.013033,0.021896,0.021896
0.009828,0.013320,0.022402,0.022402
0.010409,0.013368,0.023121,0.023121
0.010409,0.013777,0.024261,0.024261
0.010990,0.014010,0.026499,0.026499
0.009071,0.000324,0.018172,0.018172
0.009306,0.000324,0.020427,0.020427
0.009932,0.006333,0.020427,0.020427
0.009980,0.008368,0.024423,0.024423
0.009980,0.011627,0.025335,0.025335
0.009986,0.013166,0.028881,0.028881
0.010182,0.013200,0.030341,0.030341
0.011231,0.013491,0.041011,0.041011
0.009809,0.008076,0.019970,0.019970
0.009902,0.011055,0.022107,0.022107
0.010541,0.013001,0.025109,0.025109
0.013091,0.013852,0.025596,0.025596
0.009476,0.000267,0.018995,0.018995
0.009591,0.000839,0.018995,0.018995
0.009900,0.009029,0.020277,0.020277
0.009931,0.012022,0.021188,0.021188
0.009971,0.012156,0.021509,0.021509
0.009982,0.012590,0.022205,0.022205
0.009992,0.013047,0.023128,0.023128
0.009999,0.013096,0.024028,0.024028
0.010240,0.013718,0.025770,0.025770
0.010713,0.013718,0.027193,0.027193
0.010832,0.013768,0.028196,0.028196
0.010832,0.013773,0.029049,0.029049
0.009822,0.000183,0.017883,0.017883
0.009822,0.011268,0.017883,0.017883
0.009909,0.011645,0.020392,0.020392
0.010006,0.012588,0.021099,0.021099
0.010023,0.012659,0.023608,0.023608
0.010199,0.014228,0.025872,0.025872
0.010635,0.014228,0.026486,0.026486
0.009780,0.002593,0.020338,0.020338
0.009925,0.002593,0.020338,0.020338
0.009925,0.010575,0.024078,0.024078
0.009976,0.012770,0.024078,0.024078
0.009976,0.012770,0.026934,0.026934
0.010406,0.013852,0.027595,0.027595
0.010695,0.014447,0.043692,0.043692
0.010041,0.001214,0.028995,0.028995
0.010080,0.012764,0.029585,0.029585
0.010080,0.012764,0.029585,0.029585
0.010624,0.012984,0.035120,0.035120
0.009673,0.000975,0.023228,0.023228
0.009962,0.012489,0.025189,0.025189
0.010274,0.012854,0.025718,0.025718
0.010636,0.013166,0.025858,0.025858
0.010866,0.013653,0.030135,0.030135
0.009807,0.002964,0.016888,0.016888
0.009938,0.003613,0.020390,0.020390
0.009974,0.008628,0.020390,0.020390
0.009990,0.011017,0.020581,0.020581
0.009997,0.012071,0.021735,0.021735
0.010057,0.013155,0.023745,0.023745
0.010143,0.013155,0.024009,0.024009
0.010143,0.013291,0.026808,0.026808
0.010543,0.013428,0.029866,0.029866
0.009937,0.007337,0.021349,0.021349
0.009996,0.009277,0.021349,0.021349
0.010437,0.009277,0.025543,0.025543
0.010437,0.013006,0.026376,0.026376
0.012394,0.014102,0.026895,0.026895
0.009588,0.008571,0.025783,0.025783
0.009737,0.010302,0.027004,0.027004
0.009893,0.012938,0.027085,0.027085
0.010419,0.013291,0.027945,0.027945
0.009682,0.008509,0.021504,0.021504
0.010043,0.013023,0.026571,0.026571
0.010129,0.013250,0.026715,0.026715
0.010569,0.013531,0.030585,0.030585
0.009758,0.000858,0.020493,0.020493
0.009767,0.010128,0.022183,0.022183
0.009794,0.013341,0.022413,0.022413
0.009966,0.013457,0.024972,0.024972
0.010074,0.013645,0.026234,0.026234
0.011997,0.013812,0.027071,0.027071
0.009280,0.010236,0.020069,0.020069
0.009895,0.010837,0.020069,0.020069
0.009895,0.011607,0.020411,0.020411
0.009954,0.011607,0.020411,0.020411
0.009954,0.013307,0.020442,0.020442
0.009992,0.013478,0.020442,0.020442
0.010076,0.013601,0.022276,0.022276
0.010398,0.013641,0.025856,0.025856
0.010669,0.013641,0.026469,0.026469
0.010669,0.013653,0.027652,0.027652
0.010677,0.013757,0.027865,0.027865
0.011488,0.013766,0.028535,0.028535
0.011669,0.014144,0.032165,0.032165
0.011995,0.014144,0.033199,0.033199
0.009704,0.000142,0.019599,0.019599
0.009704,0.007794,0.019599,0.019599
0.009764,0.007794,0.020590,0.020590
0.009764,0.011873,0.020630,0.020630
0.009893,0.011999,0.020960,0.020960
0.009900,0.012619,0.021187,0.021187
0.009913,0.012733,0.021604,0.021604
0.009916,0.013212,0.021940,0.021940
0.009927,0.013214,0.021940,0.021940
0.010233,0.013451,0.021978,0.021978
0.010314,0.013751,0.022345,0.022345
0.011145,0.013751,0.022584,0.022584
0.011163,0.013940,0.025418,0.025418
0.011769,0.014086,0.029315,0.029315
0.012148,0.014086,0.052135,0.052135
0.012148,0.014346,0.052135,0.052135
0.009586,0.006725,0.024981,0.024981
0.009721,0.013261,0.025902,0.025902
0.009874,0.013266,0.027991,0.027991
0.010347,0.013291,0.035374,0.035374
0.009677,0.005172,0.020526,0.020526
0.009883,0.005172,0.020526,0.020526
0.009883,0.011278,0.021027,0.021027
0.009915,0.011278,0.021303,0.021303
0.009915,0.011670,0.021303,0.021303
0.009918,0.012480,0.021349,0.021349
0.009918,0.012931,0.021349,0.021349
0.009975,0.013377,0.025656,0.025656
0.010223,0.013377,0.027880,0.027880
0.010759,0.013602,0.029741,0.029741
0.010759,0.013602,0.029741,0.029741
0.021216,0.013929,0.037683,0.037683
0.010371,0.011021,0.019304,0.019304
0.010418,0.012068,0.019304,0.019304
0.010552,0.014151,0.022359,0.022359
0.010552,0.014151,0.023610,0.023610
0.010851,0.014156,0.034351,0.034351
0.009835,0.013573,0.019312,0.019312
0.009861,0.013580,0.021321,0.021321
0.009879,0.013627,0.021329,0.021329
0.009929,0.013638,0.022401,0.022401
0.009957,0.013664,0.022505,0.022505
0.009957,0.013709,0.022505,0.022505
0.010515,0.013795,0.025324,0.025324
0.010515,0.013795,0.025626,0.025626
0.010573,0.013999,0.025626,0.025626
0.010573,0.013999,0.026094,0.026094
0.010935,0.014059,0.028484,0.028484
0.011108,0.014059,0.028484,0.028484
0.012005,0.014246,0.031806,0.031806
0.009835,0.000350,0.019851,0.019851
0.010276,0.012142,0.021019,0.021019
0.010276,0.012770,0.021019,0.021019
0.010391,0.012947,0.021377,0.021377
0.010697,0.012947,0.027653,0.027653
0.011224,0.013338,0.035402,0.035402
0.011649,0.014157,0.035698,0.035698
0.009632,0.001156,0.019019,0.019019
0.009632,0.003198,0.019019,0.019019
0.009878,0.003198,0.020314,0.020314
0.010204,0.011491,0.020733,0.020733
0.010824,0.012262,0.020733,0.020733
0.011245,0.013394,0.021836,0.021836
0.011650,0.013394,0.023062,0.023062
0.011650,0.013912,0.029946,0.029946
0.009790,0.006852,0.019200,0.019200
0.009999,0.012855,0.020012,0.020012
0.009999,0.012955,0.020012,0.020012
0.010182,0.012955,0.021544,0.021544
0.010469,0.013974,0.024770,0.024770
0.011281,0.014106,0.024770,0.024770
0.011281,0.014106,0.025611,0.025611
0.012596,0.014460,0.033743,0.033743
0.009539,0.021708,0.019700,0.019700
0.009690,0.012431,0.020556,0.020556
0.009892,0.012632,0.022102,0.022102
0.009922,0.013511,0.024183,0.024183
0.009970,0.013608,0.025078,0.025078
0.010013,0.013627,0.028414,0.028414
0.010020,0.013827,0.029364,0.029364
0.010109,0.013896,0.030518,0.030518
0.021703,0.013896,0.044608,0.044608
0.009870,0.011907,0.019793,0.019793
0.009946,0.010920,0.019793,0.019793
0.010033,0.012693,0.020569,0.020569
0.011249,0.012736,0.022761,0.022761
0.011348,0.013630,0.023303,0.023303
0.011401,0.013877,0.026752,0.026752
0.011401,0.014038,0.027542,0.027542
0.018307,0.014038,0.030663,0.030663
0.009965,0.008938,0.021923,0.021923
0.009965,0.011500,0.021923,0.021923
0.010029,0.012726,0.022136,0.022136
0.010203,0.013537,0.023129,0.023129
0.010260,0.013537,0.025152,0.025152
0.010547,0.013666,0.026976,0.026976
0.011430,0.013879,0.030743,0.030743
0.011625,0.014126,0.034538,0.034538
0.012215,0.014288,0.034848,0.034848
0.009869,0.010647,0.018163,0.018163
0.009956,0.012849,0.018163,0.018163
0.009969,0.012849,0.019098,0.019098
0.010056,0.013071,0.023402,0.023402
0.010193,0.013495,0.023750,0.023750
0.010257,0.013590,0.024427,0.024427
0.010567,0.013590,0.025883,0.025883
0.010567,0.014009,0.027803,0.027803
0.011852,0.014063,0.030097,0.030097
0.012281,0.014082,0.033403,0.033403
0.023253,0.014327,0.059380,0.059380
0.009796,0.013377,0.019687,0.019687
0.009888,0.013377,0.019927,0.019927
0.009997,0.013396,0.019927,0.019927
0.010342,0.013511,0.021832,0.021832
0.010342,0.013570,0.021832,0.021832
0.010501,0.013881,0.024175,0.024175
0.010530,0.013884,0.024200,0.024200
0.010530,0.013899,0.025517,0.025517
0.010619,0.013899,0.025517,0.025517
0.011320,0.013918,0.027464,0.027464
0.011320,0.013918,0.027464,0.027464
0.011379,0.014044,0.028286,0.028286
0.011688,0.014044,0.029281,0.029281
0.011688,0.014152,0.035460,0.035460
0.009531,0.006781,0.020659,0.020659
0.009983,0.010412,0.020659,0.020659
0.009983,0.011297,0.021775,0.021775
0.009996,0.012808,0.022017,0.022017
0.010173,0.012902,0.022524,0.022524
0.010184,0.012902,0.024257,0.024257
0.010184,0.013457,0.025003,0.025003
0.010200,0.013768,0.026134,0.026134
0.010535,0.013768,0.029905,0.029905
0.010685,0.014013,0.036302,0.036302
0.010685,0.014013,0.040790,0.040790
0.011154,0.014020,0.040790,0.040790
0.011993,0.014046,0.049764,0.049764
0.013302,0.014363,0.049764,0.049764
0.009922,0.010199,0.021260,0.021260
0.009922,0.010906,0.021513,0.021513
0.010730,0.013525,0.025109,0.025109
0.010810,0.013525,0.026919,0.026919
0.010881,0.013682,0.027857,0.027857
0.011682,0.013752,0.027857,0.027857
0.011754,0.013838,0.042956,0.042956
0.012281,0.014590,0.067038,0.067038
0.009723,0.010323,0.023000,0.023000
0.009854,0.011116,0.023398,0.023398
0.009898,0.011378,0.023790,0.023790
0.009978,0.013116,0.025575,0.025575
0.010020,0.013233,0.025781,0.025781
0.010075,0.013641,0.026390,0.026390
0.010401,0.013641,0.026390,0.026390
0.010983,0.013656,0.027253,0.027253
0.011271,0.013701,0.028498,0.028498
0.011271,0.013755,0.037389,0.037389
0.011474,0.014080,0.011378,0.084982
0.009900,0.008540,0.020985,0.020985
0.009965,0.019795,0.022033,0.022033
0.009978,0.009285,0.022733,0.022733
0.010250,0.011671,0.023002,0.023002
0.010256,0.012124,0.026329,0.026329
0.010472,0.013577,0.026534,0.026534
0.014980,0.013641,0.032316,0.032316
0.035673,0.013705,0.059706,0.059706
0.009725,0.019111,0.019176,0.019176
0.009858,0.012932,0.019857,0.019857
0.009858,0.013081,0.019900,0.019900
0.009990,0.013258,0.020122,0.020122
0.009993,0.013258,0.021119,0.021119
0.010189,0.013438,0.021622,0.021622
0.010294,0.013438,0.025376,0.025376
0.010345,0.013458,0.025902,0.025902
0.010345,0.013685,0.025902,0.025902
0.011068,0.013719,0.028023,0.028023
0.011620,0.013721,0.028023,0.028023
0.019096,0.014830,0.041041,0.041041
0.009865,0.009232,0.020205,0.020205
0.009996,0.011812,0.021352,0.021352
0.010020,0.012748,0.021913,0.021913
0.010397,0.012942,0.023439,0.023439
0.011286,0.012942,0.025347,0.025347
0.011349,0.013336,0.026626,0.026626
0.011349,0.013391,0.029665,0.029665
0.011401,0.013833,0.029665,0.029665
0.012114,0.014504,0.031516,0.031516
0.009877,0.007434,0.020154,0.020154
0.009877,0.008538,0.020154,0.020154
0.009891,0.011944,0.020798,0.020798
0.010034,0.011944,0.021902,0.021902
0.010341,0.012028,0.021927,0.021927
0.010381,0.012951,0.023706,0.023706
0.010513,0.013002,0.024208,0.024208
0.010630,0.013002,0.024450,0.024450
0.011386,0.013266,0.024733,0.024733
0.011386,0.013368,0.025552,0.025552
0.011404,0.013530,0.025552,0.025552
0.011566,0.013609,0.025866,0.025866
0.011646,0.013625,0.026889,0.026889
0.012044,0.013817,0.027174,0.027174
0.014168,0.013999,0.028109,0.028109
0.028631,0.014410,0.030506,0.030506
0.009765,0.011769,0.018893,0.018893
0.009985,0.011769,0.018893,0.018893
0.009985,0.012392,0.020372,0.020372
0.010244,0.013318,0.020603,0.020603
0.010377,0.013383,0.022192,0.022192
0.010377,0.013730,0.022629,0.022629
0.010613,0.013730,0.022629,0.022629
0.011087,0.013800,0.025114,0.025114
0.011087,0.013878,0.026343,0.026343
0.011626,0.013932,0.029292,0.029292
0.011675,0.013932,0.029292,0.029292
0.025863,0.014170,0.034275,0.034275
0.009957,0.011907,0.020220,0.020220
0.009958,0.012006,0.021277,0.021277
0.009980,0.012177,0.022023,0.022023
0.010084,0.013016,0.022466,0.022466
0.010372,0.013195,0.023376,0.023376
0.010429,0.013454,0.023662,0.023662
0.010429,0.013454,0.023662,0.023662
0.011022,0.013578,0.023926,0.023926
0.011044,0.013701,0.024455,0.024455
0.011044,0.013701,0.025208,0.025208
0.011413,0.013798,0.025615,0.025615
0.011476,0.013843,0.027006,0.027006
0.011489,0.014043,0.027223,0.027223
0.011554,0.014288,0.060980,0.060980
0.012152,0.014308,0.060980,0.060980
0.009734,0.009104,0.019546,0.019546
0.010166,0.009104,0.021590,0.021590
0.010291,0.014343,0.021709,0.021709
0.010556,0.011372,0.021709,0.021709
0.010773,0.011548,0.022137,0.022137
0.011602,0.012528,0.022602,0.022602
0.012071,0.013465,0.024049,0.024049
0.012497,0.013674,0.025966,0.025966
0.012497,0.013776,0.026015,0.026015
0.014344,0.013856,0.027346,0.027346
0.014765,0.014485,0.034732,0.034732
0.010370,0.017455,0.018936,0.018936
0.010370,0.012567,0.021904,0.021904
0.010404,0.012769,0.023424,0.023424
0.010493,0.013447,0.023495,0.023495
0.010677,0.013685,0.025576,0.025576
0.010829,0.013745,0.027372,0.027372
0.010950,0.013794,0.027654,0.027654
0.011369,0.013957,0.027654,0.027654
0.011912,0.013957,0.035642,0.035642
0.017451,0.014012,0.037451,0.037451
0.009927,0.009729,0.019768,0.019768
0.010000,0.012758,0.019791,0.019791
0.010045,0.013088,0.022008,0.022008
0.010356,0.013114,0.022081,0.022081
0.010614,0.013423,0.022266,0.022266
0.010758,0.013733,0.024329,0.024329
0.011270,0.013819,0.026060,0.026060
0.011270,0.013835,0.027081,0.027081
0.011493,0.013911,0.027941,0.027941
0.011499,0.014068,0.031390,0.031390
0.012502,0.014227,0.031390,0.031390
0.012912,0.014227,0.049821,0.049821
0.009958,0.012069,0.020215,0.020215
0.009961,0.012865,0.020412,0.020412
0.010042,0.012895,0.020540,0.020540
0.010049,0.013028,0.020613,0.020613
0.010054,0.013209,0.020622,0.020622
0.010143,0.013219,0.021916,0.021916
0.010308,0.013372,0.023055,0.023055
0.010541,0.013398,0.024158,0.024158
0.010791,0.013620,0.025292,0.025292
0.010919,0.013645,0.025292,0.025292
0.010933,0.014204,0.025941,0.025941
0.011065,0.014251,0.026454,0.026454
0.011065,0.014251,0.027411,0.027411
0.011135,0.014278,0.032263,0.032263
0.009673,0.007035,0.019492,0.019492
0.010052,0.011252,0.019839,0.019839
0.010196,0.012807,0.021117,0.021117
0.011095,0.013104,0.021598,0.021598
0.011176,0.013218,0.022575,0.022575
0.011262,0.013396,0.022825,0.022825
0.011449,0.013873,0.030217,0.030217
0.012185,0.013909,0.031258,0.031258
0.012835,0.014217,0.037825,0.037825
0.009422,0.009853,0.020570,0.020570
0.009942,0.012970,0.020962,0.020962
0.009946,0.013059,0.020995,0.020995
0.009946,0.013867,0.022132,0.022132
0.010213,0.013867,0.024828,0.024828
0.010213,0.013876,0.024828,0.024828
0.010367,0.013918,0.024837,0.024837
0.010710,0.013973,0.024837,0.024837
0.011053,0.013973,0.025438,0.025438
0.011068,0.014024,0.026045,0.026045
0.011131,0.014076,0.027979,0.027979
0.011223,0.014204,0.027979,0.027979
0.012204,0.014304,0.028884,0.028884
0.012204,0.014360,0.029448,0.029448
0.012240,0.014474,0.029933,0.029933
0.013038,0.014474,0.031649,0.031649
0.009942,0.013164,0.020738,0.020738
0.009973,0.013165,0.022658,0.022658
0.009973,0.013165,0.023707,0.023707
0.010229,0.013583,0.023707,0.023707
0.010561,0.013755,0.024002,0.024002
0.010561,0.013755,0.025339,0.025339
0.010599,0.013819,0.026510,0.026510
0.011057,0.013848,0.028540,0.028540
0.011197,0.013883,0.029119,0.029119
0.011542,0.013921,0.029119,0.029119
0.011634,0.013921,0.029764,0.029764
0.012680,0.014023,0.029764,0.029764
0.012680,0.014791,0.039704,0.039704
0.009848,0.000194,0.020231,0.020231
0.009980,0.000194,0.022718,0.022718
0.009980,0.013418,0.022718,0.022718
0.010026,0.013658,0.024314,0.024314
0.010304,0.013658,0.027505,0.027505
0.010566,0.013699,0.027505,0.027505
0.010855,0.013718,0.028439,0.028439
0.010855,0.013766,0.028439,0.028439
0.011058,0.013766,0.028978,0.028978
0.011202,0.013811,0.028978,0.028978
0.011202,0.013842,0.029316,0.029316
0.011205,0.013842,0.034128,0.034128
0.011205,0.014035,0.039616,0.039616
0.009870,0.008246,0.019826,0.019826
0.010878,0.013280,0.023134,0.023134
0.011117,0.013298,0.023889,0.023889
0.011117,0.013298,0.024084,0.024084
0.011606,0.013576,0.025239,0.025239
0.011606,0.013788,0.028110,0.028110
0.011711,0.013788,0.028110,0.028110
0.013101,0.013888,0.031504,0.031504
0.036503,0.014128,0.031504,0.031504
0.009746,0.009494,0.019673,0.019673
0.010832,0.013351,0.021531,0.021531
0.010832,0.013874,0.022315,0.022315
0.011049,0.013874,0.022315,0.022315
0.011049,0.014016,0.026030,0.026030
0.011379,0.014076,0.033856,0.033856
0.012239,0.014076,0.033856,0.033856
0.009757,0.004947,0.017484,0.017484
